#Creator: pendulumviewEventBuffer
#Creation time: Mon Feb 20 15:58:46 2017
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
39.057	350	39.083	552
39.108	380	39.134	556
39.158	412	39.184	558
39.210	444	39.235	552
39.260	473	39.285	545
39.311	499	39.336	532
39.361	520	39.387	517
39.412	535	39.438	498
39.462	544	39.488	479
39.514	545	39.539	460
39.564	540	39.589	440
39.615	526	39.641	424
39.665	507	39.691	407
39.716	482	39.742	396
39.767	454	39.792	386
39.818	423	39.843	385
39.868	391	39.894	383
39.919	360	39.945	389
39.969	330	39.995	398
40.021	305	40.046	411
40.071	285	40.096	426
40.122	271	40.147	443
40.172	264	40.198	459
40.223	265	40.249	478
40.273	272	40.299	496
40.325	288	40.350	509
40.375	307	40.400	524
40.426	333	40.452	533
40.476	363	40.502	540
40.527	395	40.553	542
40.578	428	40.603	542
40.629	459	40.654	535
40.679	488	40.705	527
40.730	513	40.756	514
40.780	532	40.806	502
40.832	544	40.857	486
40.882	550	40.907	470
40.933	547	40.958	454
40.983	538	41.009	438
41.034	521	41.060	425
41.084	499	41.110	414
41.136	471	41.161	405
41.186	441	41.211	401
41.237	407	41.263	400
41.287	375	41.313	401
41.338	344	41.364	407
41.389	315	41.414	415
41.440	292	41.465	427
41.490	274	41.516	439
41.541	265	41.567	453
41.591	259	41.617	467
41.643	265	41.668	482
41.693	276	41.718	496
41.744	294	41.770	506
41.794	318	41.820	516
41.845	346	41.871	522
41.895	378	41.921	527
41.947	411	41.972	526
41.997	444	42.022	524
42.048	475	42.074	517
42.098	502	42.124	511
42.149	524	42.175	500
42.200	541	42.225	489
42.251	550	42.276	477
42.301	552	42.327	464
42.352	544	42.378	452
42.402	532	42.428	440
42.454	512	42.479	432
42.504	487	42.529	423
42.555	456	42.581	419
42.605	424	42.631	415
42.656	391	42.682	417
42.706	358	42.732	418
42.758	328	42.783	425
42.808	302	42.833	432
42.859	280	42.885	441
42.909	267	42.935	450
42.960	261	42.986	461
43.011	260	43.036	472
43.062	268	43.087	482
43.112	282	43.138	491
43.163	304	43.189	498
43.213	330	43.239	506
43.265	361	43.290	509
43.315	394	43.340	510
43.366	427	43.392	509
43.416	460	43.442	507
43.467	489	43.493	501
43.517	515	43.543	496
43.569	535	43.594	487
43.619	547	43.644	480
43.670	553	43.696	470
43.720	552	43.746	461
43.771	541	43.797	453
43.823	524	43.847	446
43.873	501	43.898	440
43.924	473	43.949	435
43.974	441	44.000	433
44.025	408	44.050	432
44.076	374	44.101	433
44.127	343	44.151	433
44.177	314	44.203	439
44.228	290	44.253	444
44.278	273	44.304	451
44.330	262	44.354	457
44.380	259	44.405	465
44.431	263	44.455	472
44.481	274	44.507	478
44.532	292	44.557	484
44.582	317	44.608	489
44.634	346	44.658	493
44.684	378	44.709	493
44.735	411	44.760	495
44.785	444	44.811	493
44.836	476	44.861	491
44.887	503	44.912	487
44.938	526	44.962	484
44.988	542	45.014	478
45.039	551	45.064	473
